"state","age_group","race","death_2019","population_2019","covid_deaths","total_deaths_pandemic","annual_death_pandemic","prop_higher_education","fips","mean_household_income","private_insurance","public_insurance","no_insurance","mortrate_2019","mortrate_covid","mortrate_change","income","education","income_decile","education_decile"
"AZ","35-44 years","White",1427,723241,252,4695,1280.5,31.2,4,89693,63.6,38.1,10.7,197.306292093507,177.050250193227,-20.2560419002794,89693,31.2,6,5
"AZ","45-54 years","Black or African American",223,43893,132,1134,309.3,31.2,4,89693,63.6,38.1,10.7,508.053675984781,704.668170323286,196.614494338505,89693,31.2,6,5
"AZ","45-54 years","White",2685,712960,696,8544,2330.2,31.2,4,89693,63.6,38.1,10.7,376.598967684022,326.83460502693,-49.7643626570916,89693,31.2,6,5
"AZ","55-64 years","Black or African American",391,37606,218,1987,541.9,31.2,4,89693,63.6,38.1,10.7,1039.72770302611,1440.99345849067,401.265755464554,89693,31.2,6,5
"AZ","55-64 years","White",6457,766117,1939,22241,6065.7,31.2,4,89693,63.6,38.1,10.7,842.821657788562,791.745908262054,-51.0757495265085,89693,31.2,6,5
"AZ","65-74 years","Black or African American",496,22117,272,2472,674.2,31.2,4,89693,63.6,38.1,10.7,2242.61880001809,3048.33386083104,805.71506081295,89693,31.2,6,5
"AZ","65-74 years","White",10745,680471,4160,42586,11614.4,31.2,4,89693,63.6,38.1,10.7,1579.05333217727,1706.81777768634,127.764445509067,89693,31.2,6,5
"AZ","75-84 years","Black or African American",379,9104,213,2009,547.9,31.2,4,89693,63.6,38.1,10.7,4163.00527240773,6018.23374340949,1855.22847100176,89693,31.2,6,5
"AZ","75-84 years","White",14329,380603,5624,58876,16057.1,31.2,4,89693,63.6,38.1,10.7,3764.81530623773,4218.85797011584,454.042663878109,89693,31.2,6,5
"AZ","85+ years","Black or African American",319,2819,114,1391,379.4,31.2,4,89693,63.6,38.1,10.7,11316.0695282015,13458.6732884001,2142.60376019865,89693,31.2,6,5
"AZ","85+ years","White",16093,136074,4696,60803,16582.6,31.2,4,89693,63.6,38.1,10.7,11826.6531446125,12186.4573687846,359.804224172141,89693,31.2,6,5
"AR","< 1 year","Black or African American",81,6778,NA,283,77.2,24.3,5,73346,60,43.8,8.7,1195.04278548244,1138.97904986722,-56.0637356152256,73346,24.3,1,1
"AR","< 1 year","White",160,26588,NA,552,150.5,24.3,5,73346,60,43.8,8.7,601.775236949,566.044832255153,-35.7304046938468,73346,24.3,1,1
"AR","1-4 years","Black or African American",16,28205,0,50,13.6,24.3,5,73346,60,43.8,8.7,56.7275305796845,48.2184009927318,-8.50912958695267,73346,24.3,1,1
"AR","1-4 years","White",38,110247,NA,107,29.2,24.3,5,73346,60,43.8,8.7,34.4680580877484,26.485981477954,-7.98207660979437,73346,24.3,1,1
